months,years,complex_subgroup,insecticide_class,percentage_mortality,resistance_class,lulc,rainfall,temperature,humidity,population_density
6,2015,Gambiae Complex,organophosphate,100,,9,8.9699075,29.880269,4624,4813
6,2015,Gambiae Complex,organophosphate,100,,9,8.9699075,29.880269,4624,4813
5,2015,Gambiae Complex,organochlorine,100,,12,17.6411295,29.667556,5469,4549
5,2015,Gambiae Complex,carbamate,100,,12,17.6411295,29.667556,5469,4549
4,2009,Funestus Subgroup,organochlorine,100,,12,41.4737665,29.52717713,6344,3540
4,2009,Gambiae Complex,pyrethroid,100,,9,10.0308645,29.82092513,5945,3540
4,2009,Gambiae Complex,pyrethroid,100,,9,10.0308645,29.82092513,5945,3540
4,2009,Gambiae Complex,pyrethroid,100,,9,4.918981525,29.79198075,6107,3540
4,2010,Funestus Subgroup,organochlorine,100,,10,19.2901235,29.71296138,6242,3431
7,2009,Gambiae Complex,organochlorine,100,,10,33.32213375,30.29715375,5493,3026
7,2009,Gambiae Complex,organophosphate,100,,10,30.33527575,30.2766105,5521,3026
7,2009,Gambiae Complex,organophosphate,100,,10,11.014038,30.6835255,4683,3026
7,2009,Gambiae Complex,organophosphate,100,,10,79.1517325,30.06747113,6369,3026
6,2015,Gambiae Complex,carbamate,100,,12,30.67129575,29.33865375,5796,2947
6,2015,Gambiae Complex,carbamate,100,,12,30.67129575,29.33865375,5796,2947
6,2015,Gambiae Complex,organophosphate,100,,12,30.67129575,29.33865375,5796,2947
6,2015,Gambiae Complex,organophosphate,100,,12,30.67129575,29.33865375,5796,2947
7,2010,Gambiae Complex,organophosphate,100,,10,18.38784225,30.69038375,4821,2791
7,2010,Gambiae Complex,carbamate,100,,10,18.38784225,30.69038375,4821,2791
4,2009,Funestus Subgroup,pyrethroid,100,,12,6.84799375,29.884328,5950,2623
7,2009,Gambiae Complex,pyrethroid,100,,10,81.671892,29.99451813,6406,2623
7,2009,Gambiae Complex,pyrethroid,100,,10,11.014038,30.6835255,4683,2623
9,2008,Gambiae Complex,pyrethroid,100,,10,41.37731525,30.00735463,6157,2556
9,2008,Gambiae Complex,organophosphate,100,,10,41.37731525,30.00735463,6163,2556
